,Date,Adv,Dec,Adv_Dec_Ratio,Adv_Dec_Ratio_Recalc,Mean_Adv_Dec_Ratio
0,2020-07-30,674,1212,0.56,0.5561056105610561,1.2987113676747108
0,2020-07-31,820,1023,0.8,0.8015640273704789,1.3030348114166237
0,2020-08-03,979,877,1.12,1.1163055872291905,1.303096949857723
0,2020-08-04,1222,641,1.91,1.906396255850234,1.319698371699613
0,2020-08-05,1192,677,1.76,1.760709010339734,1.3357670002645485
0,2020-08-06,1132,744,1.52,1.521505376344086,1.343826174356157
0,2020-08-07,1196,663,1.8,1.803921568627451,1.3610969976718597
0,2020-08-10,1242,658,1.89,1.8875379939209727,1.3697577853363914
0,2020-08-11,1060,831,1.28,1.2755716004813478,1.3806293549997413
0,2020-08-12,1007,896,1.12,1.1238839285714286,1.3874313601910873
0,2020-08-13,1087,789,1.38,1.3776932826362485,1.3997268115359682
0,2020-08-14,701,1202,0.58,0.5831946755407654,1.4029118936049074
0,2020-08-17,1139,743,1.53,1.5329744279946165,1.4022968102986466
0,2020-08-18,1325,550,2.41,2.409090909090909,1.4257855809539899
0,2020-08-19,1214,665,1.83,1.825563909774436,1.436605322615837
0,2020-08-20,1050,840,1.25,1.25,1.4342028156520488
0,2020-08-21,1214,679,1.79,1.7879234167893963,1.428943363688556
0,2020-08-24,10680,860,12.42,12.418604651162791,1.5404537011989508
0,2020-08-25,851,1058,0.8,0.8043478260869565,1.5428011931233556
0,2020-08-26,1102,782,1.41,1.4092071611253196,1.5299113733865204
0,2020-08-27,951,934,1.02,1.0182012847965738,1.5292369047530046
0,2020-08-28,750,1147,0.65,0.6538796861377506,1.5250117335414057
0,2020-08-31,283,1661,0.17,0.1703792895845876,1.4805730932028305
0,2020-09-01,780,1081,0.72,0.7215541165587419,1.468378746011161
0,2020-09-02,1232,649,1.9,1.8983050847457628,1.440094716113277
0,2020-09-03,1024,847,1.21,1.2089728453364816,1.4420644881871436
0,2020-09-04,553,1342,0.41,0.4120715350223547,1.4275236650758287
0,2020-09-07,760,1126,0.67,0.6749555950266429,1.4067937128293737
0,2020-09-08,579,1288,0.45,0.4495341614906832,1.3799437629644598
0,2020-09-09,509,1373,0.37,0.370721048798252,1.3676482072007135
0,2020-09-10,1291,566,2.28,2.2809187279151946,1.386717617528193
0,2020-09-11,982,869,1.13,1.1300345224395858,1.3869580549184872
0,2020-09-14,1320,561,2.35,2.3529411764705883,1.3921336205293469
0,2020-09-15,1111,770,1.44,1.4428571428571428,1.4024883967771955
0,2020-09-16,966,864,1.12,1.1180555555555556,1.399430107188394
0,2020-09-17,675,1190,0.57,0.5672268907563025,1.3932228580236679
0,2020-09-18,798,1050,0.76,0.76,1.3843860764144724
0,2020-09-21,294,1639,0.18,0.1793776693105552,1.3712208367141352
0,2020-09-22,413,1476,0.28,0.279810298102981,1.3711558403205997
0,2020-09-23,830,1048,0.79,0.7919847328244275,1.3741701823078416
0,2020-09-24,303,1574,0.19,0.19250317662007624,1.367726202860994
0,2020-09-25,1525,350,4.36,4.357142857142857,1.4033177319349353
0,2020-09-28,1447,459,3.15,3.1525054466230937,1.4281638196114985
0,2020-09-29,817,1048,0.78,0.7795801526717557,1.427085654196067
0,2020-09-30,856,1002,0.85,0.8542914171656687,1.4294272991020847
0,2020-10-01,1120,740,1.51,1.5135135135135136,1.416363281694847
0,2020-10-05,1041,862,1.21,1.2076566125290022,1.4219665513192161
0,2020-10-06,1106,783,1.41,1.4125159642401022,1.4272345681044747
0,2020-10-07,723,1182,0.61,0.6116751269035533,1.4306837407141393
0,2020-10-08,828,1061,0.78,0.7803958529688972,1.4304632593252946
0,2020-10-09,865,1014,0.85,0.8530571992110454,1.4240574805394701
0,2020-10-12,652,1249,0.52,0.522017614091273,1.4147284195097865
0,2020-10-13,807,1077,0.75,0.7493036211699164,1.4161743115691734
0,2020-10-14,809,1062,0.76,0.7617702448210922,1.4136574848694026
0,2020-10-15,483,1433,0.34,0.33705512909979063,1.4021469172792818
0,2020-10-16,1139,730,1.56,1.5602739726027397,1.394211481958754
0,2020-10-19,1077,798,1.35,1.349624060150376,1.3893058238260807
0,2020-10-20,976,883,1.11,1.1053227633069083,1.3572071889949664
0,2020-10-21,936,927,1.01,1.0097087378640777,1.3371953439117334
0,2020-10-22,984,869,1.13,1.1323360184119677,1.3266927655293004
0,2020-10-23,1234,661,1.87,1.8668683812405447,1.3347540252697143
0,2020-10-26,621,1298,0.48,0.47842835130970723,1.288640872885376
0,2020-10-27,865,982,0.88,0.8808553971486762,1.2760161484384112
0,2020-10-28,599,1251,0.48,0.4788169464428457,1.273993745215615
0,2020-10-29,642,1247,0.51,0.5148356054530874,1.2635339931620377
0,2020-10-30,938,908,1.03,1.0330396475770924,1.268343121914706
0,2020-11-02,699,1153,0.61,0.606244579358196,1.2639440292467494
0,2020-11-03,988,864,1.14,1.1435185185185186,1.2658930890465288
0,2020-11-04,966,872,1.11,1.1077981651376148,1.2687953950222293
0,2020-11-05,1340,531,2.52,2.5235404896421847,1.2817754299902502
0,2020-11-06,1132,719,1.57,1.5744089012517386,1.2665964420796907
0,2020-11-09,1121,767,1.46,1.4615384615384615,1.2590371691608286
0,2020-11-10,827,1053,0.79,0.785375118708452,1.2423632911144016
0,2020-11-11,989,866,1.14,1.1420323325635104,1.2266742394400365
0,2020-11-12,1118,762,1.47,1.4671916010498687,1.2344326853345675
0,2020-11-13,1134,730,1.55,1.5534246575342465,1.237802226027557
0,2020-11-14,1427,357,4.0,3.9971988795518207,1.2632807083295687
0,2020-11-17,1058,853,1.24,1.2403282532239155,1.2697914288783367
0,2020-11-18,1078,812,1.33,1.3275862068965518,1.2756506242806356
0,2020-11-19,829,1057,0.78,0.7842951750236519,1.271294501956798
0,2020-11-20,1099,770,1.43,1.4272727272727272,1.270366694470167
0,2020-11-23,1125,793,1.42,1.4186633039092056,1.2756511319004766
0,2020-11-24,1097,806,1.36,1.3610421836228288,1.2742161581465623
0,2020-11-25,651,1253,0.52,0.5195530726256983,1.2702483422592734
0,2020-11-26,1255,622,2.02,2.017684887459807,1.2830900511158045
0,2020-11-27,1212,686,1.77,1.7667638483965014,1.2888812327233128
0,2020-12-01,1294,651,1.99,1.987711213517665,1.3038845278237892
0,2020-12-02,1096,796,1.38,1.3768844221105527,1.310801520193043
0,2020-12-03,1393,568,2.45,2.4524647887323945,1.3321096298883557
0,2020-12-04,1088,846,1.29,1.2860520094562649,1.338417819288107
0,2020-12-07,1412,532,2.65,2.654135338345865,1.358160966393539
0,2020-12-08,941,1017,0.93,0.9252704031465093,1.347685670425004
0,2020-12-09,1152,809,1.42,1.4239802224969098,1.3473846563234428
0,2020-12-10,732,1214,0.6,0.6029654036243822,1.3412680839445923
0,2020-12-11,1125,817,1.38,1.3769889840881273,1.3480397659001688
0,2020-12-14,1253,697,1.8,1.7977044476327115,1.3533826640350326
0,2020-12-15,946,1012,0.93,0.9347826086956522,1.356982590962325
0,2020-12-16,1216,747,1.63,1.6278447121820616,1.3693778264053136
0,2020-12-17,870,1094,0.8,0.7952468007312614,1.3674261410579935
0,2020-12-18,751,1196,0.63,0.6279264214046822,1.362243955329578
0,2020-12-21,259,1729,0.15,0.14979757085020243,1.358180874932469
0,2020-12-22,1031,900,1.15,1.1455555555555557,1.3616207902143203
0,2020-12-23,1631,322,5.07,5.065217391304348,1.4011099082550718
0,2020-12-24,1116,825,1.35,1.3527272727272728,1.395573218423842
0,2020-12-28,1381,576,2.4,2.3975694444444446,1.4019418227648892
0,2020-12-29,944,1008,0.94,0.9365079365079365,1.3960918483665277
0,2020-12-30,1020,889,1.15,1.1473565804274466,1.3895261984845275
0,2020-12-31,1113,797,1.4,1.396486825595985,1.3846156868012776
0,2021-01-01,1317,591,2.23,2.228426395939086,1.3941442347558552
0,2021-01-04,1375,604,2.28,2.2764900662251657,1.4056702961323924
0,2021-01-05,1116,867,1.29,1.28719723183391,1.4047653356243692
0,2021-01-06,859,1121,0.77,0.7662801070472792,1.4065961899394341
0,2021-01-07,1210,737,1.64,1.6417910447761195,1.4076843561072494
0,2021-01-08,1074,887,1.21,1.2108229988726043,1.3957016770050663
0,2021-01-11,778,1210,0.64,0.6429752066115703,1.3838757899734375
0,2021-01-12,1037,917,1.13,1.1308615049073065,1.3826844050225104
0,2021-01-13,667,1309,0.51,0.5095492742551566,1.3699006635971682
0,2021-01-14,912,1022,0.89,0.8923679060665362,1.2546382961462057
0,2021-01-15,518,1432,0.36,0.361731843575419,1.2502121363210903
0,2021-01-18,420,1579,0.27,0.26599113362887905,1.2387799760461258
0,2021-01-19,1431,517,2.77,2.7678916827853,1.2562768800260131
0,2021-01-20,997,937,1.06,1.064034151547492,1.2603784246801104
0,2021-01-21,601,1369,0.44,0.4390065741417093,1.2630646975256818
0,2021-01-22,477,1472,0.32,0.32404891304347827,1.2590896454905292
0,2021-01-25,501,1457,0.34,0.3438572409059712,1.2435451670521314
0,2021-01-27,614,1313,0.47,0.4676313785224676,1.236131752383991
0,2021-01-28,938,975,0.96,0.9620512820512821,1.2416315498542803
0,2021-01-29,868,1044,0.83,0.8314176245210728,1.2431961701492247
0,2021-02-01,1348,607,2.22,2.2207578253706752,1.2609084067880245
0,2021-02-02,1235,715,1.73,1.7272727272727273,1.2744739235727693
0,2021-02-03,1189,728,1.63,1.6332417582417582,1.267997153876035
0,2021-02-04,1212,705,1.72,1.7191489361702128,1.2738882980133412
0,2021-02-05,764,1155,0.66,0.6614718614718614,1.256973604863354
0,2021-02-08,1106,793,1.39,1.394703656998739,1.25649207000477
0,2021-02-09,800,1150,0.7,0.6956521739130435,1.2522680361883447
